dtRef,idCliente,idade,recencia,penultimaAtivacao,descLifeCycle
2025-08-31,0df8bc26-9343-428a-a8ae-2b70779c49a2,144,4,20.0,reconquistado
2025-08-31,0c8ff71b-4e6a-4f95-8789-f4be4a0a2f40,94,12,34.0,turista
2025-08-31,001749bd-37b5-4b1e-8111-f9fbba90f530,417,417,NULL,zumbi
2025-09-05,2b1fd9f0-a427-49c4-a1c8-a041349d271c,2,2,NULL,curioso
2025-09-05,032a9f21-2dc3-4edd-a757-21d8ba63ce66,311,26,33.0,desencantado
2025-09-05,000ff655-fa9f-4baa-a108-47f581ec52a1,551,1,2.0,fiel
2025-09-05,0375a135-e973-49a6-89f6-dfbca84dcd17,201,2,107.0,reborn
2025-09-05,262c8369-e2e5-4afe-a70c-2ddd9db842d5,25,4,25.0,reconquistado
2025-09-05,017cc9ca-7856-4253-8fa8-13cb6cfadaa1,89,12,88.0,turista
2025-09-05,001749bd-37b5-4b1e-8111-f9fbba90f530,422,422,NULL,zumbi
2025-09-30,0068860b-c7eb-4312-830d-4ab9273c9b15,2,2,NULL,curioso
2025-09-30,0122142b-464c-414a-9aad-e901f492a1a3,264,15,75.0,desencantado
2025-09-30,000ff655-fa9f-4baa-a108-47f581ec52a1,576,5,6.0,fiel
2025-09-30,038d7c90-b7c3-46d2-b7ea-3db6fc63d625,483,2,114.0,reborn
2025-09-30,087ed7b7-ad98-4b3f-9db5-336226b976d8,569,1,19.0,reconquistado
2025-09-30,062a18af-4ee0-41c0-9dde-b56da8f7272d,15,12,14.0,turista
2025-09-30,001749bd-37b5-4b1e-8111-f9fbba90f530,447,447,NULL,zumbi
2025-10-03,0068860b-c7eb-4312-830d-4ab9273c9b15,5,3,5.0,curioso
2025-10-03,0122142b-464c-414a-9aad-e901f492a1a3,267,18,78.0,desencantado
2025-10-03,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,537,1,2.0,fiel
2025-10-03,038d7c90-b7c3-46d2-b7ea-3db6fc63d625,486,5,117.0,reborn
2025-10-03,087ed7b7-ad98-4b3f-9db5-336226b976d8,572,4,22.0,reconquistado
2025-10-03,000ff655-fa9f-4baa-a108-47f581ec52a1,579,8,9.0,turista
2025-10-03,001749bd-37b5-4b1e-8111-f9fbba90f530,450,450,NULL,zumbi
2025-10-31,014f9fac-d88c-4e95-9f9d-9eb86c9f87db,5,5,NULL,curioso
2025-10-31,0068860b-c7eb-4312-830d-4ab9273c9b15,33,19,31.0,desencantado
2025-10-31,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,565,1,2.0,fiel
2025-10-31,15ced5b3-8b8b-4cee-bd1f-4a5f8ffb59a3,267,4,267.0,reborn
2025-10-31,0fd403d3-60b6-47f2-a1e2-e6df37b49184,619,2,18.0,reconquistado
2025-10-31,01493e20-37b4-4b18-84bd-3d1e7acf1870,67,11,22.0,turista
2025-10-31,000ff655-fa9f-4baa-a108-47f581ec52a1,607,36,37.0,zumbi
2025-11-28,203cf200-1d9f-421a-9838-9f2f6949bb12,2,2,NULL,curioso
2025-11-28,000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,16,16,NULL,desencantado
2025-11-28,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,593,1,2.0,fiel
2025-11-28,0bb80954-a309-484e-8172-3b23e1ed6ae6,166,1,78.0,reborn
2025-11-28,12150e63-0370-431e-90a2-aec1df7d5a5c,96,4,26.0,reconquistado
2025-11-28,0373a76d-8e0b-4666-8064-fa9330fddbb2,12,12,NULL,turista
2025-11-28,000ff655-fa9f-4baa-a108-47f581ec52a1,635,64,65.0,zumbi
2025-11-30,203cf200-1d9f-421a-9838-9f2f6949bb12,4,4,NULL,curioso
2025-11-30,000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,18,18,NULL,desencantado
2025-11-30,0287cd05-1efe-4ad9-b235-ea17e5f8ef9c,595,3,4.0,fiel
2025-11-30,0bb80954-a309-484e-8172-3b23e1ed6ae6,168,3,80.0,reborn
2025-11-30,12150e63-0370-431e-90a2-aec1df7d5a5c,98,6,28.0,reconquistado
2025-11-30,0373a76d-8e0b-4666-8064-fa9330fddbb2,14,14,NULL,turista
2025-11-30,000ff655-fa9f-4baa-a108-47f581ec52a1,637,66,67.0,zumbi
2025-12-26,21f25d68-446f-43a9-ace4-9fecc68e3c32,6,6,NULL,curioso
2025-12-26,0122142b-464c-414a-9aad-e901f492a1a3,351,19,51.0,desencantado
2025-12-26,163022e8-12b8-486f-8604-57d8fa0ed7e1,311,1,2.0,fiel
2025-12-26,000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,44,14,44.0,turista
2025-12-26,000ff655-fa9f-4baa-a108-47f581ec52a1,663,92,93.0,zumbi
2025-12-31,000dc0f6-e4f2-4a42-b8cd-b586ed1c709a,49,19,49.0,desencantado
